"Species","genus","family","order","group","Ks","Kl","P50","MinWP_md","HSM","Hv","MAT","TMean_Warmest","TMean_Coldest","AP","Prec_Wettest","Prec_Driest","Prec_Seasonality","Prec_WetQ","Prec_DryQ","Prec_WarmQ","Prec_ColdQ","Diurnal_TRange","Isotermality","TSeasonality","TMax.Warmest","TMin.Coldest","TRange","TMean_Wettest","TMean_Driest","srad","sradMin","tmax","tmin","vapr","windMax","wind","ABDRock","AWCtS_60cm_1km_ll","clay_60cm","ph_60cm","sand_60cm","SWC_200cm","silt_60cm","AI","VPDMax","PC1","PC2","PC3"
"Huertea glandulosa","Huertea","Tapisciaceae","Huerteales","Angiosperms",NA,NA,NA,NA,NA,0.731117205806495,21.6985194259489,22.1491539514609,21.107698721329,2387.43147208122,295.934010152284,114.736040609137,34.0935923097097,820.796954314721,379.167512690355,609.573604060914,563.182741116751,9.7987310027108,86.134842732231,43.4039161217394,27.3812182470022,15.9664974636233,11.4147207821686,21.6560067791624,21.5848561398269,14190.0600561152,12492.654822335,26.5978849285145,16.7991539282242,2.15292301698385,1.68071065638876,1.45304568921249,185.263959390863,46.9238578680203,35.1370558375635,5.30355329949239,38.5939086294416,24.5939086294416,26.6142131979695,1936.06395939086,1.53011446505278,3.39667389039479,0.794599732859152,0.0279907113903387
"Humiriastrum diguense","Humiriastrum","Humiriaceae","Malpighiales","Angiosperms",NA,0.0006139,NA,NA,NA,NA,23.6132261731209,24.4827217355781,22.8955658335205,3018.63302752294,464.477064220183,62.7981651376147,49.9628664769164,1161.50458715596,270.917431192661,595.926605504587,924.02752293578,9.41238537184689,79.9552550709576,63.7241969152328,29.7642201764868,17.9431192708808,11.8211008999326,23.3025994213349,23.7738532670047,17766.4433772936,15699.128440367,28.3194188984162,18.907033631561,2.53881497558104,3.18073394757892,2.36444954915878,190.536363636364,47.8545454545455,36.2818181818182,5.29090909090909,37.9363636363636,26.4363636363636,26.1272727272727,1995.28165137615,1.72975296285625,3.71136779469138,-0.102828415330146,-0.914335539743307
"Hura crepitans","Hura","Euphorbiaceae","Malpighiales","Angiosperms",3.021,NA,NA,NA,NA,NA,25.8970266226785,27.0477946498669,24.6623659999249,1755.18241965974,283.439508506616,33.8175803402646,61.0924442341738,731.200378071834,135.225897920605,378.069943289225,414.601134215501,9.69347035186277,74.2274971260691,97.8821240823526,32.805954675368,19.6038752185825,13.2020794619685,25.7016540952801,25.9028355593041,17011.9251794364,14207.5472589792,30.7437618973124,21.0502913662977,2.63380671984081,2.47003780296935,1.92451165191167,195.333964049196,42.7190160832545,36.600756859035,5.75629139072848,41.755912961211,23.7644276253548,21.9441816461684,1111.63052930057,2.27316089562706,1.57793390232499,-1.62113653305452,0.0528184695274384
"Hybanthus prunifolius","Hybanthus","Violaceae","Malpighiales","Angiosperms",0.1071,0.000102,-2.6,-3.4,-0.8,9.52380952380952,25.9233910966628,26.6442244123704,25.2041254421272,2060.60396039604,323.118811881188,28.7326732673267,58.9717491074364,818.168316831683,135.752475247525,385.069306930693,575.623762376238,8.38605602660982,79.8239933429378,58.6440756391771,31.2237624366685,20.736633706801,10.4871287298675,25.7100659549826,25.8825082684507,18269.6106126238,16272.4158415842,30.1164191784245,21.7303629960164,2.67452145330977,2.61386139676122,2.00957096744292,195.445544554455,44.7227722772277,37.3564356435644,5.66534653465347,37.2871287128713,25.2871287128713,25.7524752475248,1243.42475247525,1.86122869635816,2.35951056865455,-1.51782892981229,-0.285906240886772
"Hymenaea courbaril","Hymenaea","Leguminosae","Fabales","Angiosperms",5.325,0.00070375,-3.02,-2.055,-0.0899999999999999,0.376213768115942,24.230116289756,25.5512085780365,22.6723237671117,1653.85131017672,286.683729433272,26.7373552711761,73.2972928122149,770.360146252285,102.780621572212,389.885435709933,327.274832419257,10.6047074650934,72.0552726201645,119.4240294206,31.5206581071555,16.5903717525698,14.9302863580726,24.6850599025096,23.4612736085942,16981.8844609327,14183.3881779403,29.5324700080644,18.9277625522695,2.3106180192275,2.34606946880392,1.90823684720859,190.685819070905,42.0213936430318,36.8569682151589,5.55861858190709,43.0941320293399,22.4248166259169,20.4413202933985,1047.84436319317,2.02501508723632,1.22473534575527,-1.3602446114538,0.0256633008598634
"Hymenaea martiana","Hymenaea","Leguminosae","Fabales","Angiosperms",2.94,0.000412,-2.33333333333333,-2.31,0.0233333333333299,1.46,23.897158414468,25.1959769588777,21.9789910078962,1097.61302681992,199.475095785441,11.4252873563218,78.7902991305823,542.122605363985,42.0421455938697,332.743295019157,121.862068965517,11.3860153147087,70.2827017773157,136.901353112583,31.5206895879402,15.2846743192709,16.2360152503997,24.428671789352,22.5511494486725,17039.087213392,14078.8505747126,29.5901660480719,18.2041507041317,2.10760536047691,2.14291188269283,1.78930395636065,196.826923076923,40.3538461538462,33.5461538461538,5.84807692307692,49.2346153846154,19.9846153846154,17.5923076923077,666.297701149425,2.49507020733619,-0.400995151323593,-2.12693823512476,0.523315095813472
"Hymenaea oblongifolia","Hymenaea","Leguminosae","Fabales","Angiosperms",NA,NA,NA,NA,NA,2.01859591375489,25.5372959526218,26.2432653310348,24.7048299828354,2755.22040816327,354.036734693878,110.016326530612,39.5237720489502,983.644897959184,378.579591836735,539.163265306122,759.591836734694,9.38581627437047,80.7244044712612,62.7604425624925,31.4714283768012,19.7530613218035,11.7183670472126,25.3884354416205,25.6091836345439,14956.7598732462,12788.1102040816,30.2302041657117,20.8443877784573,2.67753741643867,1.36040815625872,1.16445578044775,198.536885245902,42.7950819672131,36.2213114754098,4.97950819672131,41.1188524590164,22.7131147540984,23.0327868852459,2073.35632653061,1.8485923921594,3.79426538697226,-0.0459020111548366,0.335098575997627
"Hymenaea parvifolia","Hymenaea","Leguminosae","Fabales","Angiosperms",NA,NA,NA,NA,NA,2.123812883904,25.9582536539454,26.6384288399083,25.2644373535351,2109.8025477707,327.350318471338,47.9936305732484,61.0541713070718,916.337579617834,171.267515923567,355.815286624204,653.363057324841,9.82998939380524,77.5515245085309,57.983999009345,32.4961782564783,19.6254776814941,12.8707005689099,25.7223991952884,25.9260084431642,15085.2255921576,12583.4076433121,30.8732483857756,21.043258934264,2.70087580544174,1.49872610219725,1.26629512704861,199.385620915033,41.2418300653595,37.843137254902,4.88496732026144,41.9281045751634,22.1503267973856,20.5424836601307,1523.42993630573,2.27226276022222,2.65930814282935,-1.11833790939545,0.549324830607335
"Hymenaea stigonocarpa","Hymenaea","Leguminosae","Fabales","Angiosperms",3.59,0.000656,-3.17,-2.13,1.04,1.79928057553957,22.8730183428667,24.1864304279718,20.9262467106496,1311.65511811024,235.346456692913,12.4393700787402,77.0562267859151,646.788976377953,47.8629921259842,406.459842519685,102.206299212598,11.7407086717801,69.2206648398572,139.173571594118,30.6321260046771,13.6171653597374,17.0149606404342,23.6692388459453,21.2046194181668,16288.1161417323,13672.6960629921,28.7433727384552,17.0026640328835,2.03993175555402,2.01543306666096,1.68950131117828,197.729133858268,41.2236220472441,35.5732283464567,5.52472440944882,48.3165354330709,20.4330708661417,16.488188976378,843.965511811024,2.28109907935619,0.24348731059015,-1.58360161713315,0.57529414216039
"Hymenanthes catawbiensis","Hymenanthes","Ericaceae","Ericales","Angiosperms",NA,NA,-1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
