"rowname","B1","B2","S9","H4","sex","species","body_region","L","a","b","C","h","carotenoid","indiv_rep"
"Acrocephalus_schoenobaenus_d.Female.wing_cov",25.70422,0.0641002992518703,0.573756283584677,0.743979201323383,"female","Acrocephalus_schoenobaenus","cov",6.28081152322225,2.30882477524022,2.95103647602835,3.74690380522544,51.9611705891032,0,"d"
"Acrocephalus_schoenobaenus_e.Female.back",16.76936,0.0418188528678304,0.52515469464622,0.795591760348445,"female","Acrocephalus_schoenobaenus","back",4.086335618022,1.50511410225998,1.55231799043309,2.16218861440072,45.8845229019864,0,"e"
"Acrocephalus_schoenobaenus_e.Female.belly",87.95537,0.219340074812968,0.262522077004592,1.1213758945956,"female","Acrocephalus_schoenobaenus","belly",21.6682017526188,3.49803660507339,3.85680340503619,5.2068409420235,47.7926566411228,0,"e"
"Acrocephalus_schoenobaenus_e.Female.crown",17.05562,0.0425327182044888,0.504125412541254,0.731901466892096,"female","Acrocephalus_schoenobaenus","crown",3.97635656762101,1.43601376810715,1.23219800693236,1.8922070368967,40.6318500533871,0,"e"
"Acrocephalus_schoenobaenus_e.Female.tail",20.7613,0.0517738154613466,0.502196531791907,0.723601874513186,"female","Acrocephalus_schoenobaenus","tail",4.88459640214478,1.90484887159698,1.69766607210503,2.55157193039914,41.7085109238206,0,"e"
"Acrocephalus_schoenobaenus_e.Female.throat",73.3719,0.182972319201995,0.21654373024236,1.15492143282507,"female","Acrocephalus_schoenobaenus","throat",17.530956636866,2.71483530466757,1.72378779420956,3.21586303982855,32.4135525986313,0,"e"
"Acrocephalus_schoenobaenus_e.Female.wing_cov",26.79549,0.0668216708229426,0.65018315018315,0.679528120097806,"female","Acrocephalus_schoenobaenus","cov",6.65809513043367,2.94197860587542,4.09539171189077,5.04256595308899,54.307925044445,0,"e"
"Acrocephalus_schoenobaenus_f.Female.back",20.3763,0.0508137157107232,0.643985182296744,0.742058084951453,"female","Acrocephalus_schoenobaenus","back",5.18816078136205,2.26009622220719,3.11900095444001,3.85177905485672,54.0720925707735,0,"f"
"Acrocephalus_schoenobaenus_f.Female.belly",66.57792,0.166029725685786,0.267858755531473,1.13083237845369,"female","Acrocephalus_schoenobaenus","belly",16.3481597461989,2.91885214690285,2.32522628598636,3.73180588140933,38.5416517544268,0,"f"
"Acrocephalus_schoenobaenus_f.Female.crown",11.28665,0.0281462593516209,0.637051661730833,0.838655954841109,"female","Acrocephalus_schoenobaenus","crown",2.96472956453259,1.1273302019367,1.66436999145986,2.01022408021363,55.8889780437143,0,"f"
"Acrocephalus_schoenobaenus_f.Female.tail",26.32232,0.0656416957605985,0.606911787912261,0.747433388412606,"female","Acrocephalus_schoenobaenus","tail",6.51686003917834,2.66717764065311,3.23275419890912,4.19100659476508,50.4757296716882,0,"f"
"Acrocephalus_schoenobaenus_f.Female.throat",82.74705,0.20635174563591,0.263382177033493,1.11113603949882,"female","Acrocephalus_schoenobaenus","throat",20.1410445209954,3.42021190143788,3.22653818641949,4.70195683935534,43.3309816895757,0,"f"
"Acrocephalus_schoenobaenus_f.Female.wing_cov",33.77085,0.0842165835411471,0.613345173157427,0.733558746363272,"female","Acrocephalus_schoenobaenus","cov",8.44993690827187,3.42340040586558,4.7241145622075,5.83411764843165,54.0704718447566,0,"f"
"Acrocephalus_scirpaceus_a.Male.back",26.75362,0.0667172568578554,0.674404490972538,0.68996490256425,"male","Acrocephalus_scirpaceus","back",6.77414350469884,3.06355352972743,4.54791255939929,5.48350881073854,56.0351020052174,0,"a"
"Acrocephalus_scirpaceus_a.Male.belly",105.73968,0.263689975062344,0.286377056094475,1.03210672476479,"male","Acrocephalus_scirpaceus","belly",25.3026095038173,4.20774876968913,5.03980834673867,6.56542594815273,50.1414089739135,0,"a"
"Acrocephalus_scirpaceus_a.Male.crown",15.21074,0.0379320199501247,0.624441964285714,0.712375858306098,"male","Acrocephalus_scirpaceus","crown",3.77882588162197,1.66774933585148,2.09556723419763,2.67820646707377,51.4856031708679,0,"a"
"Acrocephalus_scirpaceus_a.Male.tail",31.85161,0.0794304488778055,0.527041519840662,0.564725476688674,"male","Acrocephalus_scirpaceus","tail",7.12156697551182,2.86945663404856,2.32282828945746,3.69178989610583,38.9902078433695,0,"a"
"Acrocephalus_scirpaceus_a.Male.throat",96.79424,0.241382144638404,0.402323430817247,0.931592121243885,"male","Acrocephalus_scirpaceus","throat",23.979134516462,4.96484860038712,7.90675046583539,9.33629608323098,57.8742488939554,0,"a"
"Acrocephalus_scirpaceus_a.Male.wing_cov",25.36702,0.0632594014962593,0.560799555802332,0.665879560108164,"male","Acrocephalus_scirpaceus","cov",5.99125007728414,2.37259822248273,2.61823773534353,3.53332579365462,47.8177162101143,0,"a"
